 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Raphicerus campestris,Steenbok,,,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,Wild,,Ruminant,Browser,,1-11,7-16,52.5,45-60,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Kenya,Tanzania,Angola,Namibia,"Zambia, Zimbabwe, South Africa, Botsqana, Swaziland, Mozambique",Southern Africa,sub tropical,warm temperate dry,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Raphicerus_campestris.html,
Raphicerus melanotis,Southern grysbok,,,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,Wild,,Ruminant,Mixed feeder,,1-15,8-23,50,45-55,Even-toed,Animal Diversity (website),Savanna,savanna,,,,,Africa,,,South Africa,,,,,,warm temperate dry,,,,,Least Concern,,https://animaldiversity.org/accounts/Raphicerus_melanotis/,
Raphicerus sharpei,Northern grysboks,,,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,Wild,,Ruminant,Mixed feeder,,1-11,7-16,50,45-55,Even-toed,Animal Diversity (website),Scrubland & secondary forests,grassland,temperate forest,,,,Africa,,,Tanzania,Democratic Republic of the Congo,Zambia,Mozambique,"Zimbabwe, Namibia, South Africa",Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,https://animaldiversity.org/accounts/Raphicerus_sharpei/,
Saiga tatarica,Saiga,,,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Wild,,Ruminant,Grazer,,36,21-51,70,60-80,Even-toed,Ungulates of the World (website),Steppes & semideserts,savanna,desert,,,,Asia,,,Mongolia,China,Kazakhstan,Uzbekhistan,"Turkmenistan, Kyrgyzstan",Central Asia,warm temperate dry,cool temperate,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Saiga_tatarica.html,
Bison bison,American bison,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Wild,Managed,Ruminant,Grazer,,681.5,545-818,195,<195,Even-toed,Ungulates of the World (website),Prairie & deciduous forest,grassland,temperate forest,,,,North America,,,Canada,United States,,,,Midwestern North America,warm temperate dry,cool temperate,boreal,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Bison_bison.html,
Bison bonasus,European bison,Wisent,,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Wild,Managed,Ruminant,Mixed feeder,,900,800-1000,187.5,180-195,Even-toed,Ungulates of the World (website),Deciduous forest,temperate forest,,,,,Europe,,,Belarus,Lithuania,Poland,Russia,"Ukrain, Kyrgyzstan",Central Europe,warm temperate dry,cool temperate,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Bison_bonasus.html,
Bos gaurus,Guar,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Wild,,Ruminant,Grazer,,850,700-1000,195,170-220,Even-toed,Ungulates of the World (website),Tropical forest,tropical rainforest,,,,,Asia,,,India,Nepal,China,Myanmar,"Laos, Thailand, Vietnam, Cambodia, Malaysia",South & Southeast Asia,tropical,sub tropical,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Bos_frontalis.html,Domesticated as a work/meat animal in India
Bos frontalis,Gayal,Mithun,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domestic,,Ruminant,Grazer,,550,400-700,192.5,165-220,,"https://www.animbiosci.org/upload/pdf/16_50.pdf, Animal Diversity (website)",Tropical forest,tropical rainforest,,,,,Asia,,,India,Bangladesh,Myanmar,China,"Nepal, Bhutan, Cambodia, Laos, Malaysia, Thailand, Vietnam",Southwest Asia,tropical,sub tropical,boreal,polar,,Data Deficient,,,
Bos javanicus ,Banteng,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Wild,Domestic,Ruminant,Mixed feeder,,700,600-800,160,<160,Even-toed,Ungulates of the World (website),Tropical forest & bamboo jungles,tropical rainforest,,,,,Asia,,,Myanmar,Thailand,Laos,Vietnam,"Cambodia, Indonesia, Brunei, Malaysia, Singapore",Southeast Asia,tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bos_javanicus.html,Domesticated as a work animal in several countries
Bos grunniens,Domestic yak,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domestic,,Ruminant,Grazer,,240,225-255,200,<200,Even-toed,https://animaldiversity.org/accounts/Bos_grunniens/,Mountains & alpine grasslands,boreal forest,grassland,,,,Asia,,,China,,,,,"Tibet, Asia",cool temperate,polar,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Bos_grunniens.html,"Domesticated as a work animal, especially in Tibet; wild yaks are very rare"
Bos mutus,Wild yak,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Wild,,Ruminant,Grazer,,562.5,305-820,200,<200,,Ungulates of the World (website),"High plateaus, lower plains",savanna,,,,,Asia,,,China,India,Nepal,,,Himalayas,sub tropical,warm temperate dry,cool temperate,,,Data Deficient,,,
Bos primigenius,Aurochs,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Wild,,Ruminant,Grazer,,Unknown,,170,160-180,Even-toed,"Van Vuure, T. 2002",Deciduous & mixed forests,temperate forest,,,,,Europe,,,EXTINCT,,,,,Central Europe,,,,,,Extinct,,,
Bos sauveli ,Kouprey,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Wild,,Ruminant,Grazer,,800,700-900,180,170-190,Even-toed,Ungulates of the World (website),Tropical forest,tropical rainforest,,,,,Asia,,,Cambodia,Thailand,Laos,,,Southeast Asia,tropical,sub tropical,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bos_sauveli.html,Debated as a valid species or as a cross between domestic and wild cattle
Boselaphus tragocamelus,Nilgai,,,Chordata,Mammalia,Artiodactyla,Bovidae,Boselaphus,Wild,,Ruminant,Mixed feeder,,180,120-240,135,120-150,Even-toed,Ungulates of the World (website),Grassy steppe & deciduous forest,grassland,temperate forest,,,,Asia,,,India,,,,,,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Boselaphus_tragocamelus.html,
Bubalus arnee,Asian water buffalo,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Wild,Domestic,Ruminant,Grazer,,1000,800-1200,175,160-190,Even-toed,Ungulates of the World (website),Grasslands & marshes,grassland,freshwater,,,,Asia,,,India,Nepal,Bhutan,Myanmar,"Thailand, Cambodia, Sri Lanka",Central & Southeast Asia,tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bubalus_arnee.html,
Bubalus depressicornis,Lowland anoa,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Wild,,Ruminant,Browser,,300,<300,85,85,Even-toed,"Ungulates of the World (website) & Pujaningsih, R. et al. 2009",Tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Sulawesi, Indonesia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bubalus_depressicornis.html,
Bubalus mindorensis,Tamaraw,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Managed,,Ruminant,Grazer,,250,200-300,107.5,95-120,Even-toed,Ungulates of the World (website),Tropical forests & grasslands,tropical rainforest,grassland,,,,Asia,,,Phillippines,,,,,"Mindoro, Philippines",tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bubalus_mindorensis.html,
Bubalus quarlesi,Mountain anoa,,,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Wild,,Ruminant,Mixed feeder,,150,<150,75,<75,Even-toed,Ungulates of the World (website),Tropical rainforests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Sulawesi & Butung, Indonesia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Bubalus_quarlesi.html,
Pseudoryx nghetinhensis,Saola,,,Chordata,Mammalia,Artiodactyla,Bovidae,Pseuoryx,Wild,,Ruminant,Browser,,100,100,85,80-90,Even-toed,Ungulates of the World (website),Tropical rainforests,tropical rainforest,,,,,Asia,,,Laos,Vietnam,,,,"Annamite Mountains, Southeast Asia",tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Pseudoryx_nghetinhensis.html,
Syncerus caffer,African buffalo,,,Chordata,Mammalia,Artiodactyla,Bovidae,Syncernus,Wild,,Ruminant,Grazer,,600,300-900,135,100-170,Even-toed,Ungulates of the World (website),"Savanna, deciduous forest, & tropical rainforests",savanna,temperate forest,tropical rainforest,,,Africa,,,Senegal,Guinea Bissau,Guinea,Sierra Leone,"Liberia, Côte D'Ivoire, Ghana, Togo, Benin, Burkina, Nigeria, Niger, Cameroon, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Central African Republic, South Sudan, Sudan, Ethiopia, Uganda, Kenya, Somalia, Rwanda, Burundi, Angola, Zambia, Tanzania, Malawi, Mozambique, Zimbabwe, Botswana, Namibia, South Africa, Swaziland",Central & South Africa,tropical,sub tropical,warm temperate dry,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Syncerus_caffer.html,
Tetracerus quadricornis,Four-horned antelope,Chousingha,,Chordata,Mammalia,Artiodactyla,Bovidae,Tetracerus,Wild,,Ruminant,Mixed feeder,,20,15-25,60,55-65,Even-toed,Ungulates of the World (website),Deciduous & tropical rainforests,temperate forest,tropical rainforest,,,,Asia,,,India,,,,,,tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Tetracerus_quadricornis.html,
Tragelaphus angasii,Nyala,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Mixed feeder,,97.5,55-140,100,80-120,Even-toed,Ungulates of the World (website),Deciduous lowland forests,temperate forest,,,,,Africa,,,Mozambique,Zimbabwe,South Africa,Malawi,,Southern Africa,sub tropical,warm temperate dry,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_angasii.html,
Tragelaphus buxtoni,Mountain nyala,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Browser,,175,150-200,100,90-110,Even-toed,Ungulates of the World (Website),Deciduous forests & grasslands,temperate forest,grassland,,,,Africa,,,Ethiopia,,,,,"Central Ethiopia, Africa",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_buxtoni.html,
Taurotragus derbianus,Giant eland,,,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,Wild,,Ruminant,Mixed feeder,,670,440-900,162.5,150-175,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,South Sudan,Sudan,Chad,Cameroon,"Democratic Republic of the Congo, Mali, Senegal, Guinea",Central Africa,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Taurotragus_derbianus.html,
Tragelaphus eurycerus,Bongo,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Mixed feeder,,320,240-400,120,110-130,Even-toed,Ungulates of the World (website),Tropical jungles,tropical rainforest,,,,,Africa,,,Sierra Leone,Liberia,Côte D'Ivoire,Ghana,"Togo, Benin, Cameroon, Central African Republic, South Sudan, Gabon, Congo Republic, Democratic Republic of the Congo, Kenya",Central Africa,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_eurycerus.html,
Tragelaphus imberbis,Lesser kudu,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Browser,,80.5,56-105,100,90-110,Even-toed,Ungulates of the World (website),Deciduous forests & scrubland,temperate forest,savanna,,,,Africa,,,Ethiopia,Somalia,Kenya,Tanzania,"South Sudan, Uganda",Eastern Africa,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_imberbis.html,
Tragelaphus oryx,Common eland,,,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,Wild,,Ruminant,Mixed feeder,,650,300-1000,155,130-180,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Angola,Namibia,Botswana,South Africa,"Mozambique, Zimbabwe, Zambia, Malawi, Tanzania, Democratic Republic of the Congo, Rwanda, Burundi, Uganda, Kenya, South Sudan, Ethiopia",Eastern & South Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Taurotragus_oryx.html,
Tragelaphus scriptus,Bushbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Mixed feeder,,52.5,25-80,82.5,65-100,Even-toed,Ungulates of the World (website),"Deciduous forests, scrubland, and grassland",temperate forest,savanna,grassland,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Sierra Leone, Liberia, Côte D'Ivoire, Ghana, Togo, Benin, Mali, Burkina, Niger, Nigeria, Cameroon, Chad, Central African Republic, Sudan South Sudan, Eritrea, Ethiopia, Somalia, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Uganda, Kenya, Rwanda, Burundi, Tanzania, Malawi, Mozambique, Angola, Namibia, Botswana, Zimbabwe, Zambia, Swaziland, South Africa",Sub-saharan Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_scriptus.html,
Tragelaphus spekii,Sitatunga,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Mixed feeder,,80,40-120,100,75-125,Even-toed,Ungulates of the World (website),Swamp forests & marshes,freshwater,,,,,Africa,,,Senegal,Gambia,Guinea ,Togo,"Benin, Nigeria, Chad, Cameroon, Central African Republic, South Sudan, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Uganda, Kenya, Rwanda, Burundi, Tanzania, Zambia, Angola, Namibia, Botswana",Central Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_spekii.html,
Tragelaphus strepsiceros,Greater kudu,,,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Wild,,Ruminant,Mixed feeder,,127.5,120-135,130,100-160,Even-toed,Ungulates of the World (website),Deciduous forests & scrubland,temperate forest,savanna,,,,Africa,,,Chad,Central African Republic,Sudan,South Sudan,"Ethiopia, Somalia, Eritrea, Kenya, Uganda, Tanzania, Democratic Republic of the Congo, Angola, Namibia, Botswana, Zambia, South Africa, Swaziland, Mozambique, Malawi, Zimbabwe",Eastern & Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragelaphus_strepsiceros.html,
Ammotragus lervia,Aoudad,Barbary sheep,,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,Wild,,Ruminant,Mixed feeder,,87.5,30-145,92.5,75-110,Even-toed,Ungulates of the World (website),Alpine plains & mountains,boreal forest,,,,,Africa,,,Morocco,Algeria,Tunisia,Western Sahara,"Mauritania, Mali, Libya, Niger, Chad, Libya, Egypt, Sudan",Northern Africa,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Ammotragus_lervia.html,
Arabitragus jayakari,Arabian tahr,,,Chordata,Mammalia,Artiodactyla,Bovidae,Arabitragus,Wild,,Ruminant,Browser,,28.5,17-40,61,59-63,Even-toed,Animal Diversity (website),Alpine grasslands & scrubland,boreal forest,savanna,,,,Asia,,,Oman,United Arab Emirates,,,,Al Hajar Mountains,tropical,,,,,Endangered,,https://animaldiversity.org/accounts/Hemitragus_jayakari/,
Budorcas taxicolor,Takin,,,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,Wild,,Ruminant,Mixed feeder,,275,150-400,112.5,105-120,Even-toed,Animal Diversity (website),"Deciduous & evergreen forests, grasslands, & mountains",temperate forest,grassland,boreal forest,,,Asia,,,China,India,Bhutan,Myanmar,,"Central Asia, Himalayas",tropical,sub tropical,warm temperate dry,cool temperate,boreal,Vulnerable,,https://animaldiversity.org/accounts/Budorcas_taxicolor/,
Capra aegagrus,Wild goat,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Unknown,likely mixed feeder,Unknown,,Unknown,,Even-toed,"Weinberg, P. 2014, ",Alpine mixed forests,boreal forest,,,,,Europe,,,Turkey,Georgia,Iran,Turkmenistan,Pakistan,Southeastern Europe & Middle East,sub tropical,warm temperate dry,,,,Near Threatened,,The wild species of the domesticated goat. Multiple subspecies,
Capra caucasica,West Caucasian tur,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,82.5,65-100,93.5,78-109,Even-toed,Animal Diversity (website),Alpine forests & grasslands,boreal forest,grassland,,,,Europe,,,Russia,Georgia,,,,"Western Caucasus Mountains, Europe",boreal,cool temperate,,,,Endangered,,https://animaldiversity.org/accounts/Capra_caucasica/,
Capra cylindricornis ,Eastern Caucasian tur,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,98,56-140,94.5,85-104,Even-toed,Animal Diversity (website),Alpine forests & grasslands,boreal forest,grassland,,,,Europe,,,Georgia,Azerbaijan,,,,"Greater Caucas Mountains, Europe",cool temperate,boreal,,,,Near Threatened,,https://animaldiversity.org/accounts/Capra_caucasica_cylindricornis/,
Capra falconeri,Markhor,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,71,32-110,90,65-115,Even-toed,Animal Diversity (website),Alpine scrubland & forests,boreal forest,savanna,,,,Asia,,,Pakistan,Afghanistan,Uzbekistan,India,,"Western Himalayan Mountains, Central Asia",tropical,sub tropical,warm temperate dry,cool temperate,,Near Threatened,,https://animaldiversity.org/accounts/Capra_falconeri/,
Capra ibex,Alpine ibex,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,65,30-100,85,65-105,Even-toed,Animal Diversity (website),Alpine scrubland & forests,boreal forest,,,,,Europe,Africa,,France,Switzerland,Italy,Austria,Germany,Central Europe,warm temperate dry,cool temperate,,,,Least Concern,,https://animaldiversity.org/accounts/Capra_ibex/,
Capra nubiana,Nubian ibex,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,44,25-63,70,65-75,Even-toed,Animal Diversity (website),Arid deserts & mountains,desert,boreal forest,,,,Africa,,,Egypt,Sudan,Eritrea,Israel,"Lebanon, Syria, Iraq, Saudi Arabia, Oman",Northeastern Africa & Middle East,sub tropical,warm temperate dry,,,,Vulnerable,,https://animaldiversity.org/accounts/Capra_nubiana/,
Capra pyrenaica,Spanish ibex,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,57.5,35-80,70,65-75,Even-toed,Animal Diversity (website),Alpine mixed forests,boreal forest,,,,,North America,Europe,,Spain,,,,,"Carzorla-Segura & Eastern Sierra Nevada Mountains, Iberian Peninsula",warm temperate dry,,,,,Least Concern,,https://animaldiversity.org/accounts/Capra_pyrenaica/,
Capra sibirica,Siberian ibex,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,65,30-100,90,80-100,Even-toed,Animal Diversity (website),Mountains,boreal forest,,,,,Asia,,,China,Mongolia,Russia,Kazahkstan,"Kyrgyzstan, Tajikistan, Afghanistan, Pakistan, India",Central Asia,sub tropical,warm temperate dry,cool temperate,,,Near Threatened,,https://animaldiversity.org/accounts/Capra_sibirica/,
Capra walie,Walia ibex,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Wild,,Ruminant,Mixed feeder,,102.5,80-125,100,90-110,Even-toed,Animal Diversity (website),Mountains,boreal forest,,,,,Africa,,,Ethiopia,,,,,"Northern Ethiopia, Simien Mountains",tropical,,,,,Vulnerable,,https://animaldiversity.org/accounts/Capra_walie/,
Capricornis crispus,Japanese serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Browser,,82.5,25-140,72,50-94,Even-toed,Ungulates of the World (website),Evergreen forests,temperate forest,,,,,Asia,,,Japan,,,,,,warm temperate dry,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Capricornis_crispus.html,
Capricornis milneedwardsii,Chinese serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Mixed feeder,,150,150 (unverified from wikipedia),91,91 (unverified),Even-toed,"Giri, S. et al. 2011",Alpine forests,boreal forest,,,,,Asia,,,Myanmar,Cambodia,Thailand,Laos,"China, Vietnam",Central Asia,tropical,sub tropical,,,,Data Deficient,,https://www.researchgate.net/profile/Greg-Baxter-6/publication/265848893_Population_status_of_the_Southwest_China_Serow_Capricornis_milneedwardsii_A_case_study_in_Cat_Ba_Archipelago_Vietnam/links/5636a38e08ae75884114e31d/Population-status-of-the-Southwest-China-Serow-Capricornis-milneedwardsii-A-case-study-in-Cat-Ba-Archipelago-Vietnam.pdf,
Capricornis rubidus,Red serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Mixed feeder,,135,110-160,90,85-95,Even-toed,Ungulates of the World (website),Tropical forests,tropical rainforest,,,,,Asia,,,India,Myanmar,Bangladesh,,,Southern Asia,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Capricornis_rubidus.html,
Capricornis sumatraensis,Southern serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Mixed feeder,,91,91,105,100-110,Even-toed,"Aryal, A. 2009",Alpine forests,boreal forest,,,,,Asia,,,India,Nepal,China,Bangladesh,"Myanmar, Thailand, Laos, Vietnam, Cambodia, Malaysia, Indonesia","Himalayan Mountains, Central Asia",tropical,sub tropical,warm temperate dry,cool temperate,,Vulnerable,,,
Capricornis swinhoei,Formosan serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Mixed feeder,,21,17-25,55,50-60,Even-toed,Ungulates of the World (website),"Coniferous & mixed deciduous forests, & alpine grasslands",temperate forest,boreal forest,,,,Asia,,,Taiwan,,,,,"Taiwan, Asia",sub tropical,warm temperate dry,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Capricornis_swinhoei.html,
Capricornis thar,Himalayan serow,,,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,Wild,,Ruminant,Mixed feeder,,Unknown,,Unknown,,Even-toed,"Giri, S. et al. 2011",Alpine forests,boreal forest,,,,,Asia,,,India,Nepal,Bhutan,Bangladesh,,Central Asia,tropical,sub tropical,,,,Data Deficient,,https://bioone.org/journals/mammal-study/volume-37/issue-3/041.037.0302/Distribution-Occupancy-and-Activity-Patterns-of-Goral-Nemorhaedus-goral-and/10.3106/041.037.0302.full,
Hemitragus jemlahicus,Himalayan tahr,,,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus,Wild,,Ruminant,Mixed feeder,,63,36-90,82.5,65-100,Even-toed,Ungulates of the World (website),Alpine forests & mountains,boreal forest,,,,,Asia,,,India,Nepal,,,,"Himalayan Mountains, Central Asia",sub tropical,warm temperate dry,cool temperate,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Hemitragus_jemlahicus.html,
Naemorhedus baileyi,Red goral,,,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Wild,,Ruminant,Mixed feeder,,25,20-30,60,60,Even-toed,Ungulates of the World (website),Alpine forests & grasslands,boreal forest,grassland,,,,Asia,,,China,India,Myanmar,,,Central Asia,tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Naemorhedus_baileyi.html,
Naemorhedus caudatus,Long-tailed goral,,,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Wild,,Ruminant,Mixed feeder,,27,22-32,67.5,55-80,Even-toed,Animal Diversity (website),Alpine mixed forests & mountains,boreal forest,,,,,Asia,,,Russia,China,Korea,,,Northern Asia,cool temperate,warm temperate dry,boreal,,,Vulnerable,,,
Naemorhedus goral,Gray goral,,,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Wild,,Ruminant,Mixed feeder,,39,35-42,77.5,75-80,Even-toed,Ungulates of the World (website),Alpine forests,boreal forest,,,,,Asia,,,Pakistan,India,Nepal,Bhutan,"China, South Korea","Himalayan Mountains, Central Asia",sub tropical,warm temperate dry,cool temperate,boreal,polar,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Nemorhaedus_goral.html,
Naemorhedus griseus,Chinese goral,,,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,Wild,,Ruminant,Unknown,likely mixed feeder,Unknown,,64,50-78 (unverified),Even-toed,"Chaiyarat, R. 2009",Alpine forests & mountains,boreal forest,,,,,Asia,,,Myanmar,China,India,Thailand,Vietnam,Southeast Asia,tropical,sub tropical,,,,Data Deficient,,https://link.springer.com/content/pdf/10.1134/S106741361203006X.pdf,
Nilgiritragus hylocrius,Nilgiri tahr,,,Chordata,Mammalia,Artiodactyla,Bovidae,Nilgiritragus,Wild,,Ruminant,Grazer,,75,50-100,95,80-110,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Asia,,,India,,,,,"Western Ghats Mountains, Asia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Nilgiritragus_hylocrius.html,
Oreamnos americanus,Rocky mountain goat,,,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos,Wild,,Ruminant,Mixed feeder,,62.5,56-69,85,80-90,Even-toed,Ungulates of the World (website),Mountains,boreal forest,,,,,North America,,,Canada,United States,,,,North America,cool temperate,warm temperate dry,boreal,,,Least Concern,,,
Ovibos moschatus,Musk ox,,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos,Wild,,Ruminant,Mixed feeder,,280,180-380,130,125-135,Even-toed,Ungulates of the World (website),Mountains & arctic tundra,boreal forest,tundra,,,,North America,,,Canada,United States,Greenland,,,Northern North America,cool temperate,boreal,polar,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Ovibos_moschatus.html,
Ovis ammon,Argali sheep,,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Wild,,Ruminant,Grazer,,122.5,65-180,105,90-120,Even-toed,Ungulates of the World (website),Mountains & alpine grasslands,boreal forest,grassland,,,,Asia,,,China,Mongolia,Kazakhstan,Kyrgystan,"Tajikistan, Pakistan, India",Central Asia,warm temperate dry,cool temperate,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Ovis_ammon.html,
Ovis canadensis,Bighorn sheep,,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Wild,,Ruminant,Grazer,,90,45-135,90,80-100,Even-toed,Ungulates of the World (website),Mountains & alpine grasslands,boreal forest,grassland,,,,North America,,,Canada,United States,Mexico,,,"Rocky Mountains, North America",boreal,cool temperate,warm temperate dry,sub tropical,tropical,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Ovis_canadensis.html,
